Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""5defe88a-5d68-4b7d-9f7e-30d4c84bd00c""","""Alex Ford Azure Account""","""be6226b6-194c-4a44-8203-e81926e6af9d""","""Visual Studio Professional with MSDN""",0,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
7/21/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/21/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.564960,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/21/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/21/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/21/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/21/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/21/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/21/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/21/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/21/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/21/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/21/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/21/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000547,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/21/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/21/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/21/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",12.486100,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/22/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000403,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/22/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/22/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.565572,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/22/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/22/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/22/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/22/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/22/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/22/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/22/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/22/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/22/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/22/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/22/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000424,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/22/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/22/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/22/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.708200,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/23/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000375,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/23/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/23/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.565996,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/23/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/23/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/23/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/23/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/23/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/23/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/23/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/23/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/23/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/23/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/23/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000425,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/23/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/23/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/23/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.362200,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/24/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000554,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/24/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/24/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.565596,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/24/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/24/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/24/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/24/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/24/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/24/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/24/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/24/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/24/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/24/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/24/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000450,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/24/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/24/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/24/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.382900,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/25/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000392,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/25/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/25/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.565650,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/25/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/25/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/25/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/25/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/25/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/25/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/25/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/25/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/25/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/25/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/25/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.007639,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/25/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/25/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/25/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",11.169600,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/26/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000358,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/26/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/26/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.565644,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/26/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/26/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/26/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/26/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/26/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/26/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/26/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/26/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/26/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/26/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/26/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000413,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/26/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/26/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/26/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",10.477800,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/27/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000479,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/27/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/27/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.565081,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/27/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
